"Station_code","Tair_mean..c.","Tair_min..c.","Tair_max..c.","Dew_tmean..c.","Dew_tmin..c.","Dew_tmax..c.","Dry_bulb_t..c.","Rainfall..mm.","Patm..mB.","Rh_mean..porc.","Rh_max..porc.","Rh_min..porc.","Ws_10..m.s.1.","Ws_gust..m.s.1.","Sr..Mj.m.2.day.1.","Ra..Mj.m.2.day.1.","eto","period"
"A001","2008-10-28","2020-10-10","2020-10-08","2016-01-19","2016-01-18","2015-11-30","2008-10-28","2022-11-15","2003-04-15","2016-01-17","2010-10-26","2015-02-07","2007-08-30","2014-10-01","2008-09-24","2000-12-26","2008-09-29",1
"A001","2020-10-09","2021-10-09","2020-10-09","2016-01-19","2016-01-19","2016-01-08","2020-10-09","2005-03-01","2003-04-16","2015-02-08","2014-03-08","2015-02-08","2004-07-27","2014-10-03","2008-09-12","2000-12-27","2008-09-30",3
"A001","2020-10-10","2023-09-28","2020-10-10","2016-01-19","2016-01-19","2016-01-18","2020-10-10","2005-03-05","2003-04-18","2016-01-19","2014-03-12","2011-01-04","2004-07-29","2015-11-30","2008-09-13","2000-12-29","2008-09-12",7
"A001","2020-10-10","2015-11-18","2020-10-10","2016-01-19","2016-01-19","2016-01-19","2020-10-10","2021-02-17","2017-07-14","2016-01-19","2016-01-15","2004-01-27","2007-09-11","2015-12-06","2008-09-16","2009-01-02","2008-09-16",14
"A001","2015-10-17","2015-11-15","2015-10-17","2005-03-23","2005-03-28","2016-01-19","2015-10-17","2021-02-21","2017-07-30","2013-02-03","2015-05-11","2022-01-11","2007-09-11","2007-11-14","2005-08-21","2009-01-09","2005-08-21",28
"A001","2019-12-19","2016-01-16","2019-12-19","2020-04-18","2020-04-19","2020-03-29","2019-12-19","2021-03-16","2019-08-31","2020-04-22","2015-06-17","2022-01-13","2017-09-19","2016-01-19","2021-02-02","2009-02-06","2017-10-14",90
"A042","2020-10-08","2020-10-09","2020-10-08","2018-03-13","2017-12-09","2018-12-07","2020-10-08","2020-04-08","2019-08-07","2018-12-03","2017-10-02","2018-12-03","2020-01-24","2023-09-27","2022-01-15","2017-12-28","2022-10-15",1
"A042","2020-10-09","2021-09-23","2020-10-09","2018-03-15","2020-01-24","2018-12-24","2020-10-09","2022-12-26","2020-08-05","2022-01-09","2018-03-15","2020-02-09","2020-01-25","2023-09-07","2022-01-17","2017-12-29","2020-10-01",3
"A042","2020-10-09","2020-10-10","2020-10-09","2018-03-13","2020-01-28","2018-12-28","2020-10-09","2020-03-26","2020-08-08","2022-01-12","2018-03-14","2022-01-12","2020-01-28","2017-07-29","2022-01-20","2018-12-31","2020-10-05",7
"A042","2020-10-12","2020-10-12","2020-10-12","2020-01-31","2022-01-14","2019-04-16","2020-10-12","2021-02-27","2020-08-09","2022-01-14","2022-01-14","2022-01-14","2017-08-02","2017-08-02","2020-10-07","2021-01-02","2020-10-12",14
"A042","2019-09-25","2019-10-08","2019-09-25","2020-01-28","2020-01-28","2020-01-28","2019-09-25","2021-02-28","2023-08-12","2023-01-30","2018-04-17","2020-01-28","2023-08-16","2023-09-08","2020-09-20","2021-01-09","2019-09-24",28
"A042","2022-05-16","2022-05-16","2022-05-16","2022-05-16","2022-05-16","2022-05-16","2022-05-16","2020-03-28","2023-08-11","2020-07-02","2020-07-02","2020-07-02","2023-08-17","2020-09-25","2020-10-10","2021-02-06","2020-09-25",90
"A045","2017-10-16","2017-10-16","2020-10-09","2012-11-28","2012-11-28","2015-11-30","2017-10-16","2022-11-08","2015-06-26","2011-12-11","2012-03-20","2011-12-11","2010-08-17","2012-12-15","2022-01-15","2019-12-28","2017-10-16",1
"A045","2015-10-17","2018-10-03","2020-10-09","2012-11-28","2012-11-28","2020-04-08","2015-10-17","2014-03-09","2015-06-27","2012-11-28","2012-12-12","2013-01-14","2012-08-18","2022-11-08","2017-01-08","2019-12-29","2012-10-06",3
"A045","2015-10-17","2016-01-19","2020-10-09","2016-01-19","2016-01-19","2020-04-12","2015-10-17","2014-12-22","2015-06-27","2013-01-16","2012-12-16","2011-01-04","2012-08-18","2014-08-17","2014-01-09","2019-12-31","2022-10-17",7
"A045","2015-10-17","2016-01-19","2020-10-10","2016-01-21","2016-01-21","2016-01-24","2015-10-17","2022-11-13","2017-07-14","2016-01-25","2012-11-29","2016-01-21","2012-08-24","2013-09-01","2015-01-18","2009-01-02","2014-10-16",14
"A045","2015-10-17","2016-01-29","2015-10-17","2016-01-29","2016-01-29","2016-01-28","2015-10-17","2011-12-22","2017-07-30","2016-01-29","2012-11-29","2016-01-30","2012-08-26","2013-09-12","2015-01-21","2009-01-09","2010-09-25",28
"A045","2016-02-29","2016-02-16","2022-11-01","2011-01-15","2011-01-15","2016-02-16","2016-02-29","2020-02-15","2014-09-08","2011-01-15","2011-01-21","2011-01-15","2013-10-17","2014-10-16","2019-02-24","2009-02-06","2014-10-18",90
"A046","2020-10-07","2021-10-07","2020-10-08","2018-03-13","2016-01-18","2020-03-02","2020-10-07","2016-01-20","2015-06-26","2020-01-05","2014-12-01","2018-11-25","2021-08-05","2022-11-19","2019-01-31","2014-12-27","2022-10-15",1
"A046","2020-10-09","2014-10-18","2020-10-09","2018-03-14","2020-01-26","2018-03-15","2020-10-09","2016-01-22","2020-08-05","2020-01-26","2015-05-08","2022-01-09","2022-09-01","2019-02-23","2019-01-31","2014-12-28","2022-10-17",3
"A046","2015-10-17","2015-10-17","2020-10-09","2020-01-26","2020-01-27","2020-03-02","2020-10-10","2018-11-16","2020-08-08","2020-01-27","2015-04-23","2022-01-12","2017-09-14","2022-09-02","2019-02-03","2014-12-30","2022-10-17",7
"A046","2020-10-10","2023-09-30","2020-10-10","2018-03-19","2020-01-30","2020-03-02","2020-10-10","2018-11-21","2020-08-09","2019-04-17","2019-04-19","2022-01-12","2017-09-21","2017-09-22","2020-10-07","2017-01-02","2022-10-21",14
"A046","2021-09-30","2021-11-03","2021-10-01","2020-03-09","2020-03-06","2020-03-09","2021-09-30","2021-02-28","2020-08-09","2020-03-06","2019-04-24","2022-01-11","2017-09-22","2017-09-22","2015-01-21","2017-01-09","2019-09-25",28
"A046","2019-11-15","2020-03-12","2019-11-15","2019-05-05","2019-05-05","2020-03-09","2019-11-15","2020-03-07","2019-08-31","2019-05-05","2019-05-06","2022-02-24","2019-09-25","2021-11-01","2020-10-17","2017-02-06","2021-10-29",90
"A047","2021-09-22","2021-09-22","2021-09-22","2020-02-28","2019-03-26","2018-03-03","2021-09-22","2020-01-26","2019-08-07","2020-03-25","2020-01-05","2020-02-08","2017-07-29","2018-12-22","2022-01-15","2019-12-27","2017-10-16",1
"A047","2021-09-23","2021-09-23","2021-09-23","2020-02-25","2020-01-24","2020-02-25","2021-09-23","2020-02-06","2020-08-05","2020-03-26","2020-02-09","2020-03-26","2017-07-30","2020-10-01","2021-01-21","2019-12-28","2022-10-14",3
