"Station_code","Tair_mean..c.","Tair_min..c.","Tair_max..c.","Dew_tmean..c.","Dew_tmin..c.","Dew_tmax..c.","Dry_bulb_t..c.","Rainfall..mm.","Patm..mB.","Rh_mean..porc.","Rh_max..porc.","Rh_min..porc.","Ws_10..m.s.1.","Ws_gust..m.s.1.","Sr..Mj.m.2.day.1.","Ra..Mj.m.2.day.1.","eto","period"
"A001","2022-05-19","2022-05-19","2011-11-08","2011-09-07","2021-07-20","2011-09-06","2022-05-19","2000-05-07","2010-12-13","2021-09-19","2011-09-23","2002-08-07","2009-06-24","2008-05-26","2000-08-29","2000-06-21","2009-12-06",1
"A001","2022-05-20","2022-05-21","2011-10-22","2011-09-07","2011-09-07","2011-09-08","2022-05-20","2000-05-09","2010-12-15","2011-09-08","2015-10-14","2011-09-07","2008-02-24","2023-05-11","2001-10-19","2000-06-22","2001-10-19",3
"A001","2004-07-28","2022-05-24","2004-07-28","2011-09-11","2011-09-11","2011-09-10","2004-07-28","2000-05-13","2013-12-22","2011-09-11","2015-10-16","2011-09-11","2019-04-12","2023-05-15","2011-10-24","2000-06-24","2011-10-24",7
"A001","2004-07-31","2021-07-12","2004-07-30","2011-09-12","2011-09-12","2017-09-09","2004-07-31","2000-06-04","2000-11-16","2021-09-20","2021-09-20","2020-10-09","2019-04-19","2023-05-22","2004-01-28","2000-06-27","2012-05-26",14
"A001","2017-07-19","2021-07-21","2017-07-19","2011-09-24","2011-09-24","2011-09-23","2017-07-19","2000-06-18","2011-01-04","2011-09-24","2017-09-26","2011-09-25","2019-04-29","2023-06-05","2005-12-15","2000-07-04","2015-05-19",28
"A001","2020-08-09","2022-08-15","2008-07-30","2017-09-27","2017-09-27","2017-09-26","2020-08-09","2004-08-25","2011-01-22","2015-10-17","2017-10-14","2015-10-17","2019-06-04","2023-08-04","2015-07-10","2008-08-04","2015-07-10",90
"A042","2022-05-18","2021-06-30","2022-05-18","2020-08-27","2018-08-13","2020-08-27","2022-05-18","2017-07-19","2022-11-29","2019-09-19","2019-09-13","2019-09-04","2022-03-15","2021-05-13","2018-11-25","2018-06-22","2018-12-03",1
"A042","2021-07-01","2021-07-01","2020-02-09","2022-09-13","2018-08-14","2022-09-13","2021-07-01","2017-07-21","2018-12-04","2022-09-13","2019-09-21","2020-10-04","2022-03-15","2019-05-26","2022-01-11","2019-06-23","2022-01-09",3
"A042","2017-08-01","2020-08-07","2022-01-12","2019-09-19","2020-10-05","2019-09-19","2017-08-01","2017-07-25","2018-12-05","2020-10-05","2020-10-05","2020-10-08","2022-03-19","2021-04-25","2022-01-12","2019-06-25","2022-01-12",7
"A042","2017-08-02","2017-08-04","2022-01-14","2019-09-23","2019-09-22","2019-09-23","2017-08-02","2017-08-01","2022-01-14","2019-09-23","2019-09-23","2019-09-22","2019-04-20","2019-06-01","2022-01-12","2019-06-28","2022-01-14",14
"A042","2020-08-10","2020-08-10","2020-08-11","2020-09-20","2020-09-20","2020-09-20","2020-08-10","2017-08-15","2020-01-25","2019-09-23","2019-09-25","2019-09-23","2023-02-06","2019-06-02","2017-12-18","2019-07-05","2020-05-09",28
"A042","2020-08-09","2020-08-09","2020-08-09","2020-09-20","2020-09-21","2020-09-19","2020-08-09","2019-09-02","2022-05-16","2021-09-18","2021-09-18","2021-09-18","2022-05-16","2021-07-27","2019-06-13","2019-08-05","2020-07-05",90
"A045","2022-05-19","2022-05-19","2011-11-08","2011-09-06","2011-09-06","2011-08-15","2022-05-19","2008-10-06","2010-12-13","2017-10-12","2010-09-06","2020-10-04","2019-03-13","2019-06-01","2011-09-26","2019-06-22","2013-06-03",1
"A045","2022-05-20","2022-05-21","2011-10-22","2011-09-07","2011-09-07","2011-09-07","2022-05-20","2008-10-08","2010-12-15","2012-10-04","2012-09-03","2020-10-04","2020-05-04","2020-05-04","2008-12-18","2019-06-23","2013-01-14",3
"A045","2022-05-24","2010-06-22","2011-01-04","2011-09-11","2011-09-11","2011-09-11","2022-05-24","2008-10-12","2013-12-22","2015-10-16","2012-10-08","2020-10-04","2019-04-09","2020-05-05","2011-10-24","2019-06-25","2013-06-05",7
"A045","2017-07-17","2010-06-23","2017-07-16","2011-09-12","2011-09-12","2011-09-11","2017-07-17","2009-05-30","2013-12-24","2014-10-18","2014-10-17","2020-10-09","2019-04-15","2020-05-11","2012-05-25","2019-06-28","2013-06-07",14
"A045","2017-07-31","2021-07-21","2017-07-18","2011-09-11","2011-09-11","2011-09-23","2017-07-31","2009-07-11","2011-01-04","2010-09-20","2010-09-25","2010-09-19","2019-04-29","2020-05-28","2015-05-15","2019-07-05","2015-05-15",28
"A045","2021-07-31","2022-08-16","2015-07-25","2022-09-14","2022-09-14","2022-09-14","2021-07-31","2011-09-09","2011-01-22","2014-10-18","2014-10-18","2014-10-18","2021-06-29","2020-07-03","2019-06-14","2019-08-05","2020-07-05",90
"A046","2022-05-19","2022-05-19","2022-05-18","2021-09-19","2022-09-03","2022-09-04","2022-05-19","2014-10-13","2022-11-29","2022-09-13","2022-09-04","2019-09-04","2020-07-03","2020-07-02","2015-09-14","2015-06-22","2018-11-25",1
"A046","2022-05-20","2022-05-20","2022-05-19","2022-09-05","2017-08-29","2022-09-05","2022-05-20","2014-10-15","2022-11-30","2019-09-20","2014-10-17","2019-09-20","2016-03-25","2020-05-03","2022-01-09","2015-06-23","2022-01-09",3
"A046","2022-05-23","2022-05-23","2017-07-09","2021-09-19","2017-09-02","2017-09-01","2022-05-23","2015-01-12","2022-12-02","2021-09-22","2015-10-17","2021-09-16","2019-04-12","2023-05-19","2014-12-12","2018-06-25","2022-01-13",7
