"codigo","estacao"
"A001","Brasilia-DF"
"A002","Goiania-GO"
"A003","Morrinhos-GO"
"A005","Porangatu-GO"
"A009","Palmas-TO"
"A010","Parana-TO"
"A011","Sao Simao-GO"
"A012","Luziania-GO"
"A013","Aragarcas-GO"
"A014","Goias-GO"
"A015","Itapaci-GO"
"A016","Jatai-GO"
"A017","Posse-GO"
"A018","Peixe-TO"
"A019","Gurupi-TO"
"A020","Pedro Afonso-TO"
"A021","Araguaina-TO"
"A022","Goianesia-GO"
"A023","Caiaponia-GO"
"A024","Alto Paraiso De Goias-GO"
"A025","Rio Verde-GO"
"A026","Mineiros-GO"
"A027","Parauna-GO"
"A028","Ipora-GO"
"A029","Edeia-GO"
"A031","Sao Miguel Do Araguaia-GO"
"A032","Monte Alegre De Goias-GO"
"A033","Pires Do Rio-GO"
"A034","Catalao-GO"
"A035","Itumbiara-GO"
"A036","Cristalina-GO"
"A037","Silvania-GO"
"A038","Dianopolis-TO"
"A039","Formoso Do Araguaia-TO"
"A040","Mateiros-TO"
"A041","Marianopolis Do To-TO"
"A042","Brazlandia-DF"
"A043","Campos Lindos-TO"
"A044","Araguatins-TO"
"A045","Aguas Emendadas-DF"
"A046","Gama (Ponte Alta)-DF"
"A047","Paranoa (Coopa-Df)-DF"
"A048","Santa Fe Do Araguaia-TO"
"A049","Colinas Do Tocantins-TO"
"A050","Rio Sono-TO"
"A051","Pium-TO"
"A052","Santa Rosa Do Tocantins-TO"
"A053","Almas-TO"
"A054","Araguacu-TO"
"A055","Lagoa Da Confusao-TO"
"A056","Cristalina (Fazenda Santa Monica)-GO"
"A101","Manaus-AM"
"A102","Parque Estadual Chandless-AC"
"A104","Rio Branco-AC"
"A108","Cruzeiro Do Sul-AC"
"A109","Eirunepe-AM"
"A110","Boca Do Acre-AM"
"A111","Labrea-AM"
"A112","Humaita-AM"
"A113","Apui-AM"
"A117","Coari-AM"
"A119","Manacapuru-AM"
"A120","Autazes-AM"
"A121","Itacoatiara-AM"
"A122","Maues-AM"
"A123","Parintins-AM"
"A124","Urucara-AM"
"A125","Rio Urubu-AM"
"A126","Presidente Figueiredo-AM"
"A128","Barcelos-AM"
"A133","Manicore-AM"
"A134","S, G. Da Cachoeira-AM"
"A135","Boa Vista-RR"
"A136","Porto Walter-AC"
"A137","Marechal Thaumaturgo-AC"
"A138","Feijo-AC"
"A140","Epitaciolandia-AC"
"A144","Novo Aripuana-AM"
"A201","Belem-PA"
"A202","Castanhal-PA"
"A203","Sao Luis-MA"
"A204","Balsas-MA"
"A205","Carolina-MA"
"A206","Chapadinha-MA"
"A207","Grajau-MA"
"A209","Medicilandia-PA"
"A210","Pacaja-PA"
"A211","Placas-PA"
"A212","Paragominas-PA"
"A213","Tome Acu-PA"
"A214","Rondon Do Para-PA"
"A215","Salinopolis-PA"
"A216","Sao Felix Do Xingu-PA"
"A217","Farol De Santana-MA"
"A218","Preguicas-MA"
"A219","Turiacu-MA"
"A220","Bacabal-MA"
